Workload,Records,Threads,AvgRuntime_ms,AvgRuntime_s,Throughput_ops_sec
workloada,100000,1,6552.0,6.55,15268.06
workloadb,100000,1,6056.0,6.06,16513.14
workloadc,100000,1,5715.33,5.72,17497.74
workloadd,100000,1,7467.67,7.47,13404.1
workloade,100000,1,92342.67,92.34,1084.17
workloadf,100000,1,10251.0,10.25,9915.81
workloadg,100000,1,9082.67,9.08,11031.84
workloadh,100000,1,8786.0,8.79,11382.84
workloada,100000,3,3395.33,3.4,29454.15
workloadb,100000,3,3137.67,3.14,31875.13
workloadc,100000,3,3060.33,3.06,32680.1
workloadd,100000,3,3542.67,3.54,28227.36
workloade,100000,3,20164.33,20.16,4960.0
workloadf,100000,3,4697.67,4.7,21294.68
workloadg,100000,3,4530.0,4.53,22078.78
workloadh,100000,3,4391.0,4.39,22780.16
workloada,100000,6,2643.67,2.64,37882.31
workloadb,100000,6,2534.67,2.53,39464.4
workloadc,100000,6,2475.0,2.48,40410.43
workloadd,100000,6,2939.67,2.94,34024.04
workloade,100000,6,14551.33,14.55,6876.14
workloadf,100000,6,3782.33,3.78,26660.46
workloadg,100000,6,3377.33,3.38,29649.7
workloadh,100000,6,3511.0,3.51,28888.15
workloada,1000000,1,61636.67,61.64,16245.41
workloadb,1000000,1,54834.67,54.83,18241.51
workloadc,1000000,1,55166.33,55.17,18133.55
workloadd,1000000,1,66168.0,66.17,15138.6
workloade,1000000,1,1593140.0,1593.14,717.54
workloadf,1000000,1,90773.0,90.77,11022.07
workloadg,1000000,1,87920.33,87.92,11385.27
workloadh,1000000,1,85719.0,85.72,11666.14
workloada,1000000,3,28569.0,28.57,35008.34
workloadb,1000000,3,27201.67,27.2,36764.3
workloadc,1000000,3,30978.67,30.98,33838.96
workloadd,1000000,3,30446.33,30.45,32859.17
workloade,1000000,3,505710.67,505.71,3683.82
workloadf,1000000,3,40058.33,40.06,24964.02
workloadg,1000000,3,37894.33,37.89,26391.08
workloadh,1000000,3,38036.0,38.04,26291.33
workloada,1000000,6,18325.33,18.33,54574.7
workloadb,1000000,6,17147.33,17.15,58322.91
workloadc,1000000,6,16739.67,16.74,59739.85
workloadd,1000000,6,370060.0,370.06,34392.52
workloade,1000000,6,157630.33,157.63,6774.86
workloadf,1000000,6,26479.0,26.48,37767.71
workloadg,1000000,6,24556.0,24.56,40724.38
workloadh,1000000,6,25374.33,25.37,39432.11
workloada,10000000,1,616069.33,616.07,16232.54
workloadb,10000000,1,580435.67,580.44,17232.27
workloadc,10000000,1,1006929.0,1006.93,11571.38
workloadd,10000000,1,690421.67,690.42,14485.97
