Workload,Records,Threads,AvgRuntime_ms,AvgRuntime_s,Throughput_ops_sec
workloada,100000,1,6505.33,6.51,15388.13
workloadb,100000,1,6314.67,6.31,15856.56
workloadc,100000,1,6247.67,6.25,16007.51
workloadd,100000,1,12662.0,12.66,8834.52
workloade,100000,1,1919627.0,1919.63,294.13
workloadf,100000,1,10365.0,10.37,9652.32
workloadg,100000,1,26401.0,26.4,3812.09
workloadh,100000,1,22206.33,22.21,4503.84
workloada,100000,3,3546.67,3.55,28265.12
workloadb,100000,3,3402.67,3.4,29389.21
workloadc,100000,3,3630.67,3.63,27621.2
workloadd,100000,3,4396.67,4.4,23118.58
workloade,100000,3,103230.0,103.23,968.82
workloadf,100000,3,4778.67,4.78,20985.23
workloadg,100000,3,7887.67,7.89,12690.43
workloadh,100000,3,8830.67,8.83,11375.98
workloada,100000,6,2705.0,2.71,36991.31
workloadb,100000,6,2425.33,2.43,41247.26
workloadc,100000,6,2529.33,2.53,39565.32
workloadd,100000,6,3499.0,3.5,28932.61
workloade,100000,6,82407.33,82.41,1213.8
workloadf,100000,6,3157.33,3.16,31677.22
workloadg,100000,6,4451.0,4.45,22468.11
workloadh,100000,6,4906.0,4.91,20387.25
workloada,1000000,1,61026.33,61.03,16391.06
workloadb,1000000,1,60052.33,60.05,16661.4
workloadc,1000000,1,59546.33,59.55,16797.84
workloadd,1000000,1,227134.67,227.13,4689.94
